1, 1879, 5614, 220
2, 3013, 7579, 145
3, 6034, 4315, 599
4, 3933, 7014, 231
5, 4140, 1575, 997
6, 4394, 2554, 852
7, 7314, 4146, 133
8, 4927, 4128, 140
9, 3038, 7755, 511
10, 5015, 7556, 145
11, 5731, 3088, 990
12, 5191, 1773, 926
13, 229, 3669, 666
14, 89, 3095, 337
15, 9349, 5988, 855
16, 8697, 6451, 414
17, 7395, 8247, 411
18, 4071, 7839, 157
19, 8365, 4768, 414
20, 1493, 2622, 570
21, 2681, 6962, 592
22, 6613, 9140, 354
23, 6643, 7206, 509
24, 9376, 6151, 738
25, 348, 6137, 155
26, 3327, 2345, 532
27, 7930, 4516, 594
28, 7262, 8769, 551
29, 2426, 4836, 575
30, 1816, 9380, 969
31, 220, 8484, 22
32, 6241, 7510, 670
33, 6210, 1225, 659
34, 4432, 6895, 814
35, 8412, 9636, 617
36, 4172, 5399, 564
37, 550, 8255, 818
38, 990, 8098, 686
39, 8911, 8542, 331
40, 4527, 3088, 85
41, 2704, 9236, 17
42, 9079, 7986, 345
43, 7634, 8129, 624
44, 4327, 9645, 179
45, 4348, 7898, 242
46, 8138, 1104, 74
47, 3477, 7254, 911
48, 9422, 1901, 300
49, 5298, 9959, 538
50, 8780, 3678, 614
51, 6325, 4572, 13
52, 6146, 6192, 497
53, 3224, 8578, 557
54, 1679, 1531, 885
55, 898, 9834, 97
56, 189, 7380, 292
57, 3658, 7042, 375
58, 1817, 4765, 713
59, 933, 2358, 455
60, 8242, 2389, 220
61, 1817, 3511, 208
62, 9571, 1222, 440
63, 6719, 7658, 609
64, 45, 6427, 946
65, 7548, 7310, 619
66, 2086, 5096, 745
67, 3099, 9590, 828
68, 8439, 5762, 932
69, 2565, 9231, 978
70, 4544, 4466, 289
71, 2654, 9226, 189
72, 8354, 8067, 954
73, 8224, 8341, 608
74, 4266, 9607, 999
75, 8469, 6564, 593
76, 5258, 8262, 943
77, 5555, 7073, 223
78, 7612, 7259, 559
79, 4116, 5320, 142
80, 6408, 5482, 455
81, 8152, 9474, 542
82, 9831, 2230, 976
83, 9943, 3593, 459
84, 6279, 2060, 542
85, 5336, 2948, 666
86, 8000, 7712, 543
87, 2900, 8532, 910
88, 1191, 6965, 439
89, 1928, 9804, 299
90, 4731, 8687, 199
91, 1447, 5604, 827
92, 2930, 7344, 266
93, 1043, 7741, 561
94, 7037, 4464, 298
95, 2162, 5423, 294
96, 9655, 3003, 426
97, 8489, 3589, 184
98, 1513, 6632, 518
99, 5165, 7054, 947
100, 7348, 6815, 282
101, 2645, 9104, 185
102, 942, 8853, 312
103, 2074, 4413, 987
104, 2348, 5493, 187
105, 614, 7555, 601
106, 2663, 5571, 503
107, 2344, 7935, 559
108, 2095, 6604, 849
109, 1186, 6575, 635
110, 4151, 8979, 688
111, 385, 1538, 369
112, 1117, 2750, 908
113, 5628, 3062, 662
114, 1469, 5054, 464
115, 3112, 9337, 84
116, 3590, 3368, 974
117, 5039, 3864, 164
118, 5847, 5053, 49
119, 1783, 2789, 611
120, 3526, 8631, 567
121, 9649, 6078, 239
122, 7583, 1866, 690
123, 5092, 4476, 235
124, 7118, 8941, 398
125, 4671, 4176, 375
126, 1735, 6779, 529
127, 3452, 8067, 561
128, 5074, 9576, 147
129, 8769, 3745, 353
130, 645, 3825, 970
131, 7660, 3619, 800
132, 7949, 1706, 841
133, 248, 1412, 264
134, 4256, 9506, 455
135, 2513, 4263, 796
136, 7894, 9371, 229
137, 8532, 3004, 511
138, 2865, 1855, 341
139, 1545, 2261, 94
140, 2904, 6271, 166
141, 903, 4502, 846
142, 8446, 5186, 528
143, 6376, 2438, 783
144, 8916, 6077, 445
145, 2969, 8672, 624
146, 5563, 4805, 851
147, 132, 5914, 383
148, 9708, 1357, 351
149, 3582, 7956, 342
150, 7246, 4130, 657
151, 6613, 7878, 681
152, 1281, 7036, 553
153, 8420, 6329, 166
154, 3357, 9515, 549
155, 7196, 5000, 369
156, 2809, 2699, 964
157, 2719, 9485, 126
158, 7503, 9810, 22
159, 1488, 8443, 574
160, 2596, 6039, 571
161, 4816, 7371, 66
162, 7636, 9183, 91
163, 1712, 5237, 226
164, 1959, 1706, 203
165, 9587, 6472, 889
166, 2237, 8343, 987
167, 3196, 6323, 843
168, 1909, 9616, 519
169, 8537, 5235, 926
170, 5075, 6263, 588
171, 2391, 1013, 291
172, 5117, 7356, 906
173, 7022, 2566, 746
174, 1374, 7699, 859
175, 7883, 9935, 933
176, 6595, 1115, 411
177, 207, 7639, 845
178, 2083, 5199, 349
179, 7720, 3868, 592
180, 8237, 8329, 588
181, 7160, 9254, 42
182, 6604, 7802, 613
183, 4727, 4158, 204
184, 530, 8212, 399
185, 9791, 7933, 227
186, 6865, 7375, 203
187, 9487, 5879, 157
188, 4346, 9001, 199
189, 5365, 8572, 40
190, 8311, 2551, 689
191, 9928, 2494, 644
192, 5238, 5277, 798
193, 9123, 3536, 27
194, 5375, 9381, 383
195, 6506, 6411, 606
196, 9901, 2318, 823
197, 5034, 6827, 97
198, 2838, 8720, 360
199, 9801, 2326, 858
